"","DATEPRD","WELL_BORE_CODE","ON_STREAM_HRS","AVG_DOWNHOLE_PRESSURE","AVG_DOWNHOLE_TEMPERATURE","AVG_DP_TUBING","AVG_ANNULUS_PRESS","AVG_CHOKE_SIZE_P","AVG_WHP_P","AVG_WHT_P","DP_CHOKE_SIZE","BORE_OIL_VOL","class","WI1","WI2"
"2110",2011-08-20,"NO 15/9-F-14 H",24,248.070846875,103.35687125,202.309576458333,14.3065852170476,50.0689320833333,45.7612704166667,88.4578972916667,15.3036754166667,1709.91,7,6262.75262458333,5957.69256541667
"2111",2011-08-21,"NO 15/9-F-14 H",24,248.224866041667,103.34128125,202.574315625,14.2997808370402,50.0578497916667,45.6505504166667,88.4970935416667,15.19746,1693.9,9,6306.9,5958.8
"2112",2011-08-21,"NO 15/9-F-12 H",24,245.58999515253,103.250776689184,205.655570845282,23.2030820833333,99.9112504166667,37.2515025,91.5557514583333,5.967383125,1320.77,8,6306.9,5958.8
"2113",2011-08-22,"NO 15/9-F-14 H",24,248.374155833333,103.328364583333,202.75239875,14.0394639770483,50.0065175,45.6217570833333,89.380479375,15.17126,1681.07,8,6362,5939
"2114",2011-08-22,"NO 15/9-F-12 H",24,248.731162255746,102.817877522907,209.221133371984,23.2550497916667,99.9239945833333,36.98236625,92.23574375,5.70968416666667,1311.03,6,6362,5939
"2115",2011-08-23,"NO 15/9-F-12 H",24,249.207218549679,102.758743593405,209.773906487866,23.3532164583333,99.9222685416667,36.9464322916667,92.3485045833333,5.670226875,1304.59,8,6398.69006354167,5947.432525625
"2116",2011-08-23,"NO 15/9-F-14 H",24,248.0445275,103.323048125,202.950714583333,14.0249086194803,50.844809375,45.0938129166667,89.582910625,14.63207375,1677.95,7,6398.69006354167,5947.432525625
"2117",2011-08-24,"NO 15/9-F-12 H",24,243.119012787768,103.35470041643,203.191692760644,23.0065839583333,99.8997297916667,37.1920541666667,91.1261591666667,5.925063125,1286.36,1,6065.65242041667,5972.44905041667
"2118",2011-08-24,"NO 15/9-F-14 H",24,248.312471458333,103.315955625,203.302905,14.6210429353485,51.2897577083333,45.0095664583333,88.2591535416667,14.56338625,1657.25,8,6065.65242041667,5972.44905041667
"2119",2011-08-25,"NO 15/9-F-14 H",23.15833,248.749599305477,103.304164486459,203.573197310484,15.1122809477499,50.2780770212766,45.1764019949927,88.209441170663,14.7637623568712,1573.4,8,5884.92995510638,5807.76858489362
"2120",2011-08-25,"NO 15/9-F-12 H",23.15833,242.086076012314,103.298281098361,211.607879938694,22.9487017312777,95.2913780851064,37.5753395270298,91.5618698122274,6.36478154815567,1216.14,1,5884.92995510638,5807.76858489362
"2121",2011-08-26,"NO 15/9-F-14 H",23.00834,253.05580371667,103.251077830765,205.058245762767,16.3881403060502,45.5977819148936,47.9975579539028,86.5837580813088,17.2243417823276,1352.49,2,5936.1,4815.6
"2122",2011-08-26,"NO 15/9-F-12 H",23.01,245.879804507837,102.967655811413,208.26803983854,19.1337808561495,71.7809012765957,40.3236708518036,86.177140273794,8.94931496305954,941.39,6,5936.1,4815.6
"2123",2011-08-27,"NO 15/9-F-14 H",24,248.23443875,103.287055416667,204.028575416667,14.5100838096761,51.98583375,44.2058633333333,89.26275,13.7334552083333,1619.61,4,6398.31005854167,5573.6655575
"2124",2011-08-27,"NO 15/9-F-12 H",24,247.662014965256,104.006823538263,209.920309058085,22.9139929166667,85.8074741666667,37.0478658333333,91.8851191666667,5.905960625,1199.02,5,6398.31005854167,5573.6655575
"2125",2011-08-28,"NO 15/9-F-14 H",24,248.126697083333,103.278409791667,204.072810833333,15.3809384645707,52.0355229166667,44.05388625,87.8091227083333,13.570083125,1626.86,6,6292.731338125,5590.68023645833
"2126",2011-08-28,"NO 15/9-F-12 H",24,245.835427255032,103.756893443217,207.616760975172,22.8482714583333,85.8835460416667,37.478354375,90.417104375,6.27680708333333,1204.78,3,6292.731338125,5590.68023645833
"2127",2011-08-29,"NO 15/9-F-14 H",24,247.359650208333,103.275858333333,204.03962375,15.779622405998,54.145075,43.3200264583333,88.6892889583333,12.8214739583333,1660.56,5,6348.687316875,5543.80387125
"2128",2011-08-29,"NO 15/9-F-12 H",24,245.819883305101,104.290241507034,207.450539224032,22.699284375,83.0247289583333,37.4724239583333,91.5698808333333,6.27302583333333,1196.98,3,6348.687316875,5543.80387125
"2129",2011-08-30,"NO 15/9-F-14 H",24,246.190712708333,103.283111666667,203.959091875,17.3453893977237,58.2041929166667,42.2316208333333,89.4888360416667,11.6972072916667,1708.86,9,6194.498771875,5556
"2130",2011-08-30,"NO 15/9-F-12 H",24,245.149484194416,104.502320748211,206.028356042796,22.710204375,79.6820510416667,37.639028125,91.9747116666667,6.4509225,1186.27,1,6194.498771875,5556
"2131",2011-08-31,"NO 15/9-F-12 H",24,245.195086014677,104.515224887608,206.054533002033,22.690898125,79.704185,37.6401902083333,92.0173372916667,6.46833875,1181.38,8,5857.890434375,5570.47164208333
"2132",2011-08-31,"NO 15/9-F-14 H",24,246.301835833333,103.277951458333,203.958318541667,17.2833457849877,58.1939952083333,42.3435172916667,89.55713,11.8192077083333,1701.47,1,5857.890434375,5570.47164208333
"2133",2011-09-01,"NO 15/9-F-12 H",24,245.329249437898,104.537985921115,205.914713542012,22.7460004166667,79.05913625,37.70397875,92.1279570833333,6.512706875,1172.73,9,6208.67890145833,5526.1437375
"2134",2011-09-01,"NO 15/9-F-14 H",24,246.087072708333,103.274975625,203.959851666667,17.4267462711314,58.5413066666667,42.1272210416667,89.7293547916667,11.6047197916667,1698.77,8,6208.67890145833,5526.1437375
"2135",2011-09-02,"NO 15/9-F-12 H",24,245.065346654116,104.134859016855,205.074000391402,22.4359341666667,76.3057227083333,38.3687539583333,90.94285125,7.22133833333333,1153.98,10,6392.06072979167,5552.62406166667
"2136",2011-09-02,"NO 15/9-F-14 H",24,245.584347916667,103.278655208333,204.070011875,20.3344773075732,60.3352414583333,41.5143360416667,87.5926272916667,10.9909485416667,1715.43,6,6392.06072979167,5552.62406166667
"2137",2011-09-03,"NO 15/9-F-12 H",24,245.570470580734,104.249286433078,205.479192866304,22.4993310416667,76.1807579166667,38.2729660416667,91.4432464583333,7.13611770833333,1151.36,7,6503.53739916667,5526.31815354167
"2138",2011-09-03,"NO 15/9-F-14 H",24,245.65888375,103.278946041667,204.106559583333,19.5913476241637,60.3133397916667,41.5523241666667,88.3704489583333,11.0274502083333,1712.95,10,6503.53739916667,5526.31815354167
"2139",2011-09-04,"NO 15/9-F-14 H",24,245.715531041667,103.280651666667,204.073407083333,18.6355806599593,60.2396822916667,41.6421239583333,89.3560652083333,11.1052352083333,1710.99,9,6449.327713125,5539.12564791667
